Date,Open,High,Low,Close
1981-06-22,0.8254,0.8592,0.7586,0.8592
1981-09-21,0.8746,0.8903,0.8334,0.8509
1981-12-21,0.8539,0.8715,0.8129,0.8181
1982-03-22,0.8157,0.8546,0.7926,0.7926
1982-06-21,0.787,0.814,0.773,0.7798
1982-09-20,0.7791,0.807,0.7513,0.8057
1982-12-20,0.8067,0.8364,0.7818,0.814
1983-03-21,0.8068,0.8083,0.7593,0.7623
1983-06-20,0.7662,0.7733,0.7131,0.7312
1983-09-19,0.7337,0.7596,0.7023,0.7023
1983-12-19,0.7035,0.7642,0.6868,0.7422
1984-03-19,0.7418,0.7543,0.7012,0.7114
1984-06-18,0.7077,0.7077,0.6234,0.6363
1984-09-24,0.6442,0.6657,0.6211,0.6259
1984-12-24,0.6243,0.6243,0.5648,0.5773
1985-03-18,0.5837,0.6546,0.5837,0.6365
1985-06-24,0.6352,0.7111,0.635,0.6848
1985-09-23,0.7138,0.7765,0.7138,0.7763
1985-12-23,0.7786,0.886,0.7784,0.8699
1986-03-24,0.8523,0.901,0.8137,0.8683
1986-06-23,0.8672,0.98,0.8672,0.979
1986-09-22,0.96,0.9922,0.9442,0.972
1986-12-22,0.9855,1.0913,0.9855,1.0632
1987-03-23,1.0711,1.1025,1.0602,1.0659
1987-06-22,1.0593,1.0879,1.0277,1.0799
1987-09-21,1.0746,1.2021,1.056,1.1935
1987-12-21,1.1932,1.2415,1.1382,1.1494
1988-03-21,1.1531,1.1791,1.112,1.1123
1988-06-20,1.1078,1.1095,1.016,1.0391
1988-09-19,1.0435,1.1368,1.0354,1.1044
1988-12-19,1.1066,1.1066,1.0377,1.0395
1989-03-20,1.0398,1.0561,0.9609,0.979
1989-06-19,0.9878,1.0534,0.9751,0.9751
1989-09-18,0.9988,1.1319,0.9988,1.1319
1989-12-18,1.1299,1.1784,1.1203,1.1505
1990-03-19,1.1589,1.196,1.1393,1.1511
1990-06-18,1.1627,1.2596,1.1605,1.2361
1990-09-24,1.2527,1.3259,1.2405,1.2776
1990-12-24,1.2618,1.3495,1.2197,1.2197
1991-03-18,1.1946,1.1946,1.0753,1.0838
1991-06-24,1.0928,1.1674,1.0625,1.1574
1991-09-23,1.166,1.271,1.1395,1.271
1991-12-23,1.2887,1.291,1.164,1.164
1992-03-23,1.1678,1.2466,1.1652,1.2418
1992-06-22,1.2453,1.4025,1.2453,1.3002
1992-09-21,1.3163,1.3866,1.2173,1.245
1992-12-21,1.2438,1.247,1.1646,1.1855
1993-03-22,1.1843,1.2455,1.1658,1.1658
1993-06-21,1.1608,1.1929,1.0913,1.1808
1993-09-20,1.1797,1.1853,1.1159,1.1315
1993-12-20,1.1284,1.1519,1.1042,1.1419
1994-03-21,1.1365,1.1929,1.1256,1.1929
1994-06-20,1.199,1.2541,1.1949,1.2421
1994-09-19,1.2294,1.2778,1.2105,1.2132
1994-12-19,1.2117,1.3351,1.2041,1.3021
1995-03-20,1.3021,1.3525,1.265,1.3191
1995-06-19,1.3191,1.352,1.2501,1.2608
1995-09-18,1.2586,1.3208,1.256,1.2725
1995-12-18,1.2756,1.2966,1.2238,1.2576
1996-03-18,1.2567,1.2626,1.2185,1.2358
1996-06-24,1.2378,1.2832,1.2325,1.2535
1996-09-23,1.2517,1.2857,1.23,1.2402
